applicability_mode,accuracy,policy,mean_nodes,ci_nodes_lo,ci_nodes_hi,mean_fatals,ci_fatals_lo,ci_fatals_hi,success_rate,mean_ver_actions,mean_ver_nodes,delta_nodes_vs_baseline,delta_nodes_ci_lo,delta_nodes_ci_hi,delta_fatals_vs_baseline
calibrated,0.9,v1_uncertainty,1.235,1.1349,1.355,0.125,0.07,0.19,1.0,0.0,0.0,1.66,1.4449,1.8751,-0.855
calibrated,0.9,v2_verification_action,1.505,1.375,1.6551,0.1,0.05,0.16,1.0,0.275,0.275,1.39,1.165,1.615,-0.88
calibrated,1.0,baseline,2.84,2.6549,3.04,0.94,0.825,1.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,1.0,advisory,2.84,2.6549,3.04,0.94,0.825,1.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0
calibrated,1.0,v1_uncertainty,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.84,1.6549,2.04,-0.94
calibrated,1.0,v2_verification_action,1.325,1.2649,1.39,0.0,0.0,0.0,1.0,0.325,0.325,1.515,1.3149,1.72,-0.94
uninformative,0.0,baseline,3.0,2.8199,3.195,1.06,0.9599,1.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.0,advisory,3.0,2.8199,3.195,1.06,0.9599,1.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.0,v1_uncertainty,3.8,3.5899,4.055,1.37,1.28,1.46,1.0,0.0,0.0,-0.8,-1.08,-0.5449,0.31
uninformative,0.0,v2_verification_action,4.27,3.9849,4.575,1.335,1.24,1.4251,1.0,0.255,0.255,-1.27,-1.605,-0.95,0.275
uninformative,0.1,baseline,3.07,2.88,3.2701,1.07,0.96,1.1901,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.1,advisory,3.07,2.88,3.2701,1.07,0.96,1.1901,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.1,v1_uncertainty,3.53,3.2599,3.8401,1.105,0.995,1.21,1.0,0.0,0.0,-0.46,-0.7201,-0.21,0.035
uninformative,0.1,v2_verification_action,3.9,3.565,4.2351,0.99,0.875,1.1001,1.0,0.265,0.265,-0.83,-1.1351,-0.5299,-0.08
uninformative,0.2,baseline,2.97,2.775,3.165,1.035,0.925,1.1451,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.2,advisory,2.97,2.775,3.165,1.035,0.925,1.1451,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.2,v1_uncertainty,3.055,2.83,3.32,1.02,0.915,1.125,1.0,0.0,0.0,-0.085,-0.3401,0.175,-0.015
uninformative,0.2,v2_verification_action,3.385,3.1299,3.665,0.955,0.85,1.065,1.0,0.26,0.26,-0.415,-0.69,-0.14,-0.08
uninformative,0.3,baseline,2.71,2.505,2.915,0.91,0.805,1.0201,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.3,advisory,2.71,2.505,2.915,0.91,0.805,1.0201,1.0,0.0,0.0,0.0,0.0,0.0,0.0
uninformative,0.3,v1_uncertainty,2.77,2.5299,3.015,0.895,0.78,1.015,1.0,0.0,0.0,-0.06,-0.3351,0.23,-0.015
uninformative,0.3,v2_verification_action,3.025,2.76,3.29,0.82,0.705,0.935,1.0,0.25,0.25,-0.315,-0.6151,-0.015,-0.09
uninformative,0.4,baseline,2.915,2.725,3.1101,0.995,0.885,1.1101,1.0,0.0,0.0,0.0,0.0,0.0,0.0
