universe_subset,excluded_symbols,retained_symbols_count,benchmark,tested_models_count,test_statistic_t_spa,p_value_hansen_spa,p_value_white_reality_check,best_model_symbol,best_model_strategy,decision
Clean_75pct_Excluding_Top_Quartile_Zero_Spread,ETHUSD;XAUUSD;ADAUSD;GBPNZD;DOGEUSD;SOLUSD;XAUEUR,21,Zero_Excess_Return_Cash,189,2.5687,0.325,0.339,CHFJPY,S3_BRK_20,ACCEPT_NULL (No Alpha)
Clean_75pct_Excluding_Top_Quartile_Zero_Spread,ETHUSD;XAUUSD;ADAUSD;GBPNZD;DOGEUSD;SOLUSD;XAUEUR,21,Equal_Weight_Buy_and_Hold_S0a,189,2.8382,0.168,0.178,EURJPY,S4_CARRY,ACCEPT_NULL (No Alpha)
