symbol,category,strategy,total_return,cagr,annualized_vol,gross_sharpe,net_sharpe,cost_drag,max_drawdown,trade_count,exposure_pct
USDCAD,FX_MAJOR,S3_BRK_20,-0.4797,-0.0186,0.0752,-0.0284,-0.2119,0.1834,-0.5148,196,99.68
USDCAD,FX_MAJOR,S3_BRK_50,-0.2124,-0.0068,0.0751,0.1172,-0.0537,0.1708,-0.3535,79,99.13
USDCAD,FX_MAJOR,S4_CARRY,0.3571,0.0088,0.0752,0.0842,0.1542,-0.07,-0.4119,1,99.99
USDCAD,FX_MAJOR,S0a_BH,0.3571,0.0088,0.0752,0.0842,0.1542,-0.07,-0.4119,1,99.99
USDCHF,FX_MAJOR,S1_MOM_20,-0.692,-0.0304,0.1059,-0.0757,-0.2384,0.1627,-0.7584,944,99.68
USDCHF,FX_MAJOR,S1_MOM_60,-0.6462,-0.0269,0.1057,-0.0402,-0.2044,0.1643,-0.7823,550,99.29
USDCHF,FX_MAJOR,S1_MOM_120,-0.7824,-0.0392,0.1054,-0.162,-0.3261,0.1641,-0.8203,389,98.71
USDCHF,FX_MAJOR,S1_MOM_252,-0.7445,-0.0351,0.1043,-0.1222,-0.2904,0.1682,-0.7838,300,97.33
USDCHF,FX_MAJOR,S2_MR_W20,-0.2123,-0.0062,0.0591,0.0136,-0.0763,0.0898,-0.4513,830,34.16
USDCHF,FX_MAJOR,S2_MR_W50,-0.2531,-0.0076,0.0605,-0.0281,-0.0968,0.0687,-0.4021,629,28.46
USDCHF,FX_MAJOR,S3_BRK_20,-0.4304,-0.0147,0.1058,0.0676,-0.0862,0.1538,-0.679,212,99.66
USDCHF,FX_MAJOR,S3_BRK_50,-0.68,-0.0294,0.1057,-0.0688,-0.2294,0.1606,-0.7765,101,99.32
USDCHF,FX_MAJOR,S4_CARRY,-0.0493,-0.0013,0.106,-0.075,0.0408,-0.1158,-0.5438,1,99.99
USDCHF,FX_MAJOR,S0a_BH,-0.0493,-0.0013,0.106,-0.075,0.0408,-0.1158,-0.5438,1,99.99
USDJPY,FX_MAJOR,S1_MOM_20,-0.3405,-0.0109,0.1023,0.2133,-0.0556,0.2689,-0.6396,937,99.61
USDJPY,FX_MAJOR,S1_MOM_60,0.487,0.0105,0.1022,0.4057,0.1529,0.2528,-0.5311,533,99.31
USDJPY,FX_MAJOR,S1_MOM_120,-0.6456,-0.0268,0.1019,0.0452,-0.216,0.2612,-0.6957,332,98.68
USDJPY,FX_MAJOR,S1_MOM_252,-0.1327,-0.0037,0.1006,0.2969,0.0133,0.2837,-0.4507,213,97.36
USDJPY,FX_MAJOR,S2_MR_W20,-0.4825,-0.0171,0.0629,-0.0867,-0.2434,0.1566,-0.5128,846,34.29
USDJPY,FX_MAJOR,S2_MR_W50,-0.6478,-0.027,0.0574,-0.3178,-0.4483,0.1306,-0.6594,584,26.59
USDJPY,FX_MAJOR,S3_BRK_20,-0.3215,-0.0101,0.1025,0.1837,-0.048,0.2318,-0.6929,210,99.76
USDJPY,FX_MAJOR,S3_BRK_50,0.4693,0.0101,0.1021,0.3595,0.1499,0.2096,-0.5058,77,99.26
USDJPY,FX_MAJOR,S4_CARRY,1.4041,0.0233,0.1025,0.0602,0.2758,-0.2155,-0.4364,1,99.99
USDJPY,FX_MAJOR,S0a_BH,1.4041,0.0233,0.1025,0.0602,0.2758,-0.2155,-0.4364,1,99.99
XAUEUR,METALS,S1_MOM_20,-0.8122,-0.1269,0.141,-0.405,-0.8914,0.4864,-0.8434,336,99.32
XAUEUR,METALS,S1_MOM_60,-0.4443,-0.0465,0.1372,0.156,-0.2788,0.4348,-0.6192,130,98.04
XAUEUR,METALS,S1_MOM_120,-0.3028,-0.0288,0.134,0.317,-0.1514,0.4684,-0.5717,118,96.11
XAUEUR,METALS,S1_MOM_252,-0.1955,-0.0175,0.1292,0.4388,-0.072,0.5108,-0.5492,64,91.86
XAUEUR,METALS,S2_MR_W20,-0.4853,-0.0524,0.089,-0.3191,-0.5606,0.2415,-0.507,272,34.7
XAUEUR,METALS,S2_MR_W50,-0.3882,-0.0391,0.0796,-0.305,-0.4607,0.1556,-0.4099,194,27.07
XAUEUR,METALS,S3_BRK_20,-0.6172,-0.0749,0.1408,-0.0985,-0.4828,0.3844,-0.7309,79,99.1
XAUEUR,METALS,S3_BRK_50,-0.3874,-0.039,0.1361,0.1926,-0.224,0.4166,-0.5814,30,97.46
XAUEUR,METALS,S0a_BH,-0.4114,-0.0421,0.1415,0.5416,-0.233,0.7746,-0.6222,1,99.97
XAUUSD,METALS,S1_MOM_20,-0.9299,-0.0996,0.1677,0.1667,-0.5414,0.7081,-0.9402,602,99.58
XAUUSD,METALS,S1_MOM_60,-0.9828,-0.148,0.1675,-0.0533,-0.8722,0.8189,-0.9861,363,98.98
XAUUSD,METALS,S1_MOM_120,-0.9432,-0.107,0.1672,0.3706,-0.5926,0.9633,-0.9637,234,98.07
XAUUSD,METALS,S1_MOM_252,-0.9692,-0.1283,0.1659,0.3456,-0.7443,1.0899,-0.9796,148,96.04
XAUUSD,METALS,S2_MR_W20,-0.5469,-0.0308,0.1049,-0.0263,-0.2454,0.219,-0.5681,569,35.54
XAUUSD,METALS,S2_MR_W50,-0.3975,-0.0198,0.09,-0.125,-0.177,0.052,-0.545,404,27.78
XAUUSD,METALS,S3_BRK_20,-0.9695,-0.1287,0.1676,0.0146,-0.7374,0.7519,-0.9763,148,99.48
XAUUSD,METALS,S3_BRK_50,-0.9789,-0.1413,0.1675,-0.0197,-0.825,0.8053,-0.9877,64,98.95
XAUUSD,METALS,S0a_BH,-0.99,-0.1661,0.1681,0.6376,-0.9955,1.6331,-0.9931,1,99.98
