time,open,high,low,close,tick_volume,spread,real_volume
2006-01-02 00:00:00,2.5318,2.5318,2.5157,2.5234,4203,0,0
2006-01-03 00:00:00,2.5234,2.5595,2.5194,2.5484,88544,0,0
2006-01-04 00:00:00,2.5486,2.5612,2.545,2.5543,86287,0,0
2006-01-05 00:00:00,2.5543,2.5654,2.5458,2.5554,87475,0,0
2006-01-06 00:00:00,2.5556,2.5721,2.525,2.5583,77683,0,0
2006-01-08 00:00:00,2.5549,2.5608,2.5541,2.5593,3740,0,0
2006-01-09 00:00:00,2.5592,2.5623,2.5408,2.5446999999999997,73288,0,0
2006-01-10 00:00:00,2.5444,2.5552,2.5380000000000003,2.5393,77727,0,0
2006-01-11 00:00:00,2.5394,2.5445,2.5221999999999998,2.5331,76176,0,0
2006-01-12 00:00:00,2.5331,2.5423,2.5263999999999998,2.5366999999999997,83064,0,0
2006-01-13 00:00:00,2.5366999999999997,2.5476,2.5315,2.5413,73657,0,0
2006-01-15 00:00:00,2.5413,2.5416,2.5373,2.5385,3333,0,0
2006-01-16 00:00:00,2.5385999999999997,2.5446999999999997,2.527,2.5398,60745,0,0
2006-01-17 00:00:00,2.5398,2.5658,2.5380000000000003,2.5629999999999997,81374,0,0
2006-01-18 00:00:00,2.5629999999999997,2.5732,2.5575,2.5646,90097,0,0
2006-01-19 00:00:00,2.5648999999999997,2.5999,2.5621,2.5788,94206,0,0
2006-01-20 00:00:00,2.5787,2.6123,2.572,2.6099,81348,0,0
2006-01-23 00:00:00,2.61,2.6215,2.5907999999999998,2.6103,63326,0,0
2006-01-24 00:00:00,2.61,2.6369,2.6092,2.6117,92310,0,0
2006-01-25 00:00:00,2.6117,2.6205,2.594,2.5963000000000003,80863,0,0
2006-01-26 00:00:00,2.5962,2.6136,2.5884,2.6015,77104,0,0
2006-01-27 00:00:00,2.6015,2.6319,2.5881,2.5888999999999998,104797,0,0
2006-01-29 00:00:00,2.5888,2.5998,2.5888,2.5961,3979,0,0
2006-01-30 00:00:00,2.596,2.6001,2.5846,2.5907,75250,0,0
2006-01-31 00:00:00,2.5907,2.6044,2.5805,2.5835,84782,0,0
2006-02-01 00:00:00,2.5835,2.597,2.5807,2.589,81247,0,0
2006-02-02 00:00:00,2.589,2.5944000000000003,2.5737,2.5744,70529,0,0
2006-02-03 00:00:00,2.5747,2.5819,2.56,2.5663,86013,0,0
2006-02-05 00:00:00,2.5664,2.5664,2.5568999999999997,2.5625999999999998,3478,0,0
2006-02-06 00:00:00,2.5629999999999997,2.5824,2.5592,2.5625,79268,0,0
2006-02-07 00:00:00,2.5627,2.5773,2.5535,2.5741,75572,0,0
2006-02-08 00:00:00,2.5735,2.5804,2.5618,2.5758,78011,0,0
2006-02-09 00:00:00,2.5758,2.5846,2.5568999999999997,2.5609,82385,0,0
2006-02-10 00:00:00,2.5609,2.575,2.5567,2.5678,86118,0,0
2006-02-12 00:00:00,2.5677,2.5704000000000002,2.5672,2.5682,3981,0,0
2006-02-13 00:00:00,2.5681000000000003,2.5829,2.556,2.582,69928,0,0
2006-02-14 00:00:00,2.5821,2.5888,2.5599,2.5637,81385,0,0
2006-02-15 00:00:00,2.5638,2.5829,2.5575,2.5779,78111,0,0
2006-02-16 00:00:00,2.5779,2.6010999999999997,2.568,2.5894,77411,0,0
2006-02-17 00:00:00,2.5892,2.62,2.5868,2.612,86743,0,0
2006-02-19 00:00:00,2.6123,2.6123,2.6024000000000003,2.6032,5107,0,0
2006-02-20 00:00:00,2.6034,2.6086,2.5995,2.6029,55658,0,0
2006-02-21 00:00:00,2.6028000000000002,2.6413,2.6017,2.6349,81742,0,0
2006-02-22 00:00:00,2.6353999999999997,2.6561,2.6349,2.6492,84189,0,0
2006-02-23 00:00:00,2.6492,2.6544,2.6413,2.6481,83510,0,0
2006-02-24 00:00:00,2.6481,2.6507,2.6285,2.6330999999999998,73517,0,0
2006-02-26 00:00:00,2.6330999999999998,2.6511,2.6330999999999998,2.6448,8485,0,0
2006-02-27 00:00:00,2.6447000000000003,2.6513,2.6299,2.6341,74882,0,0
2006-02-28 00:00:00,2.634,2.6504,2.6308,2.6461,77201,0,0
