time,open,high,low,close,tick_volume,spread,real_volume
1998-05-11 00:00:00,0.9405,0.943,0.9329,0.9411,197,160,0
1998-05-12 00:00:00,0.9409,0.9456,0.9387,0.9387,117,160,0
1998-05-13 00:00:00,0.9365,0.9365,0.9271,0.9271,95,160,0
1998-05-14 00:00:00,0.9291,0.9322,0.9235,0.9305,161,160,0
1998-05-15 00:00:00,0.9284,0.9313,0.9222,0.9313,154,160,0
1998-05-18 00:00:00,0.9326,0.9329,0.9252,0.9264,93,160,0
1998-05-19 00:00:00,0.9265,0.9283,0.9224,0.9248,102,160,0
1998-05-20 00:00:00,0.9214,0.9282,0.9193,0.925,143,160,0
1998-05-21 00:00:00,0.9262,0.9262,0.9262,0.9262,1,160,0
1998-05-22 00:00:00,0.918,0.927,0.918,0.9243,118,160,0
1998-05-25 00:00:00,0.9275,0.9275,0.9182,0.921,122,160,0
1998-05-26 00:00:00,0.9187,0.9187,0.913,0.9152,80,160,0
1998-05-27 00:00:00,0.913,0.9161,0.9013,0.9127,294,160,0
1998-05-28 00:00:00,0.9128,0.922,0.9127,0.9168,147,160,0
1998-05-29 00:00:00,0.919,0.9283,0.919,0.924,137,160,0
1998-06-01 00:00:00,0.9071,0.9071,0.9071,0.9071,1,160,0
1998-06-02 00:00:00,0.9061,0.9123,0.9036,0.9097,139,160,0
1998-06-03 00:00:00,0.9083,0.9133,0.9026,0.9035,167,160,0
1998-06-04 00:00:00,0.9033,0.9045,0.8986,0.9,86,160,0
1998-06-05 00:00:00,0.9017,0.9017,0.8838,0.8838,180,160,0
1998-06-08 00:00:00,0.8868,0.8868,0.8809,0.8809,60,160,0
1998-06-09 00:00:00,0.88,0.884,0.8779,0.8827,96,160,0
1998-06-10 00:00:00,0.8814,0.8814,0.8622,0.872,291,160,0
1998-06-11 00:00:00,0.8716,0.8855,0.8711,0.875,255,160,0
1998-06-12 00:00:00,0.8787,0.8936,0.8761,0.8936,202,160,0
1998-06-15 00:00:00,0.8957,0.8957,0.8801,0.8854,210,160,0
1998-06-16 00:00:00,0.8801,0.8878,0.8798,0.8873,89,160,0
1998-06-17 00:00:00,0.8861,0.9189,0.8841,0.9189,369,160,0
1998-06-18 00:00:00,0.9146,0.9174,0.9036,0.9074,205,160,0
1998-06-19 00:00:00,0.9006,0.9414,0.899,0.9376,479,160,0
1998-06-22 00:00:00,0.9414,0.9414,0.9104,0.9111,318,160,0
1998-06-23 00:00:00,0.9125,0.9172,0.9077,0.9172,144,160,0
1998-06-24 00:00:00,0.9118,0.9245,0.9097,0.9201,214,160,0
1998-06-25 00:00:00,0.918,0.918,0.9089,0.9171,174,160,0
1998-06-26 00:00:00,0.9178,0.9243,0.9152,0.923,131,160,0
1998-06-29 00:00:00,0.9152,0.9308,0.9141,0.9267,220,160,0
1998-06-30 00:00:00,0.9264,0.9464,0.9233,0.9437,290,160,0
1998-07-01 00:00:00,0.9437,0.9524,0.9374,0.9488,250,160,0
1998-07-02 00:00:00,0.9476,0.9505,0.9364,0.9426,233,160,0
1998-07-03 00:00:00,0.9423,0.9468,0.9388,0.9458,126,160,0
1998-07-06 00:00:00,0.9398,0.9425,0.9335,0.9386,169,160,0
1998-07-07 00:00:00,0.9379,0.9499,0.9346,0.9499,187,160,0
1998-07-08 00:00:00,0.9496,0.9508,0.9394,0.9447,180,160,0
1998-07-09 00:00:00,0.9447,0.9494,0.9398,0.9441,187,160,0
1998-07-10 00:00:00,0.9438,0.9506,0.9434,0.9455,128,160,0
1998-07-13 00:00:00,0.9376,0.9412,0.9368,0.9368,81,160,0
1998-07-14 00:00:00,0.9367,0.9507,0.9329,0.9474,250,160,0
1998-07-15 00:00:00,0.9469,0.9495,0.9402,0.9414,132,160,0
1998-07-16 00:00:00,0.9414,0.9552,0.9356,0.9483,324,160,0
1998-07-17 00:00:00,0.9483,0.953,0.9421,0.9455,191,160,0
1998-07-20 00:00:00,0.9414,0.9516,0.9369,0.9492,217,160,0
1998-07-21 00:00:00,0.9486,0.9512,0.9441,0.9461,118,160,0
1998-07-22 00:00:00,0.946,0.9481,0.9374,0.9406,161,160,0
1998-07-23 00:00:00,0.9415,0.9457,0.9305,0.935,240,160,0
1998-07-24 00:00:00,0.9344,0.9377,0.9207,0.9212,209,160,0
1998-07-27 00:00:00,0.9199,0.9211,0.9095,0.9169,203,160,0
